wakeâ†’listen(ms),listen dur(ms),sttâ†’1st_token(ms),1stâ†’tts_start(ms),tts dur(ms),e2e wakeâ†’tts_end(ms),tokens,tok/s,stt_text
0,0,5180,0,3329,8508,0,0.0,Hello?
0,0,785,0,51474,52259,0,0.0,"Uh, can you tell me a story? Or a joke?"
0,0,1074,0,8477,9551,0,0.0,Can you tell me today's date?
0,0,1071,0,19237,20308,0,0.0,What AI model are you using?
0,0,1141,0,20744,21885,0,0.0,Are you not Gemma?
0,0,1315,0,11478,12793,0,0.0,"No, that's it. Thank you."
0,0,3203,0,75708,78912,0,0.0,I don't hear what happened.
0,0,5418,0,3367,8785,0,0.0,"[silence] Test 1, 2, 3."
0,0,804,0,6006,6810,0,0.0,"Hey, can you tell me a joke?"
0,0,847,0,5269,6116,0,0.0,That's pretty good. Can you tell me the date?
0,0,912,0,2536,3447,0,0.0,(keyboard clacking)
0,0,929,0,2391,3320,0,0.0,[BLANK_AUDIO]
0,0,950,0,2061,3011,0,0.0,(sighs)
0,0,418,0,4201,4619,0,0.0,"Hey, are you ready?"
0,0,184,0,31,215,0,0.0,[BLANK_AUDIO]
0,0,139,0,30,169,0,0.0,[BLANK_AUDIO]
0,0,156,0,30,186,0,0.0,(door creaking)
0,0,176,0,6831,7007,0,0.0,"Yeah, can you go ahead and tell me today's date?"
0,0,174,0,30,204,0,0.0,[BLANK_AUDIO]
